Dataset,n,Metric,TimesFM,SNAIVE,XGBoost,LSTM,PatchTST,DLinear
M4,4227,MASE,1.426,3.278,1.763,3.735,1.411,1.211
M4,4227,sMAPE,4.15%,3.05%,1.39%,3.35%,3.54%,3.15%
M4,4227,RMSE,290.37,212.00,125.49,232.91,249.30,222.08
Traffic,862,MASE,0.482,1.096,0.514,0.861,1.251,1.165
Traffic,862,sMAPE,19.43%,28.66%,15.21%,27.32%,39.35%,37.69%
Traffic,862,RMSE,0.019,0.033,0.017,0.021,0.030,0.027
Energy,7,MASE,2.576,2.092,0.573,0.836,0.856,0.927
Energy,7,sMAPE,56.36%,68.66%,25.85%,32.18%,34.94%,34.83%
Energy,7,RMSE,2.887,3.940,1.187,1.700,2.114,2.220
Exchange,8,MASE,12.374,13.861,3.942,9.677,2.460,2.546
Exchange,8,sMAPE,3.76%,12.10%,0.81%,2.77%,2.18%,1.91%
Exchange,8,RMSE,0.034,0.093,0.007,0.022,0.015,0.013
