Dataset,Metric,TimesFM,SNAIVE,XGBoost,LSTM
M4 (n=4227),MASE,1.426,3.278,1.763,3.735
M4 (n=4227),sMAPE,4.15%,3.05%,1.39%,3.35%
M4 (n=4227),RMSE,290.37,212.00,125.49,232.91
Traffic (n=862),MASE,0.482,1.096,0.514,0.861
Traffic (n=862),sMAPE,19.43%,28.66%,15.21%,27.32%
Traffic (n=862),RMSE,0.019,0.033,0.017,0.021
Energy (n=7),MASE,2.576,2.092,0.573,0.836
Energy (n=7),sMAPE,56.36%,68.66%,25.85%,32.18%
Energy (n=7),RMSE,2.887,3.940,1.187,1.700
Exchange (n=8),MASE,12.374,13.861,3.942,9.677
Exchange (n=8),sMAPE,3.76%,12.10%,0.81%,2.77%
Exchange (n=8),RMSE,0.034,0.093,0.007,0.022
