dataset,series_id,spectral_entropy,cv,seasonal_autocorr,trend_strength,history_length
traffic,0,2.936177,1.233674,0.797287,5.1e-05,14035
traffic,1,2.349667,1.051407,0.788279,7e-05,14035
traffic,10,1.736896,0.801391,0.790841,0.000313,14035
traffic,100,1.371358,0.808499,0.875087,0.000324,14035
traffic,101,0.821911,0.693193,0.949244,0.001535,14035
traffic,102,0.778152,0.55767,0.900657,0.007688,14035
traffic,103,0.814435,0.523119,0.820179,0.001893,14035
traffic,104,1.543662,0.81823,0.870828,0.001705,14035
traffic,105,1.798804,0.871724,0.850201,0.004394,14035
traffic,106,1.749373,0.859732,0.768004,0.053958,14035
traffic,107,1.667177,0.843484,0.807511,0.000489,14035
traffic,108,1.6506,0.731121,0.623999,0.013559,14035
traffic,109,2.003884,0.982824,0.880311,0.034156,14035
traffic,11,2.189242,0.988739,0.82452,0.00392,14035
traffic,110,1.002645,0.580877,0.79304,0.003366,14035
traffic,111,2.27276,0.925763,0.656473,0.008659,14035
traffic,112,0.815415,0.504274,0.798105,1.6e-05,14035
traffic,113,0.91337,0.544155,0.861469,0.001308,14035
traffic,114,2.465059,1.189319,0.842914,0.005983,14035
traffic,115,1.008919,0.617544,0.889836,0.037261,14035
traffic,116,1.395542,0.718753,0.80163,0.005538,14035
traffic,117,0.926457,0.625589,0.917461,0.005982,14035
traffic,118,0.642506,0.439824,0.781601,0.001822,14035
traffic,119,1.689929,0.797425,0.792371,0.002184,14035
traffic,12,1.89235,0.779639,0.624679,4e-06,14035
traffic,120,1.516688,0.855076,0.855235,0.003281,14035
traffic,121,1.519047,0.718078,0.778741,0.001528,14035
traffic,122,1.197963,0.697034,0.871804,0.000338,14035
traffic,123,1.369213,0.722834,0.86416,0.002947,14035
traffic,124,1.155375,0.677381,0.872578,0.002848,14035
traffic,125,0.925802,0.55702,0.859952,0.006529,14035
traffic,126,1.321123,0.760094,0.829796,0.002924,14035
traffic,127,1.690687,0.766879,0.709198,0.029541,14035
traffic,128,2.375962,1.006551,0.742433,0.002001,14035
traffic,129,0.943561,0.644294,0.88475,0.004242,14035
traffic,13,1.45843,0.855453,0.876406,0.005396,14035
traffic,130,1.475656,0.795287,0.89253,0.000176,14035
traffic,131,2.85597,1.136952,0.681015,0.001561,14035
traffic,132,0.876747,0.557727,0.848838,0.018138,14035
traffic,133,3.39771,1.634401,0.853956,0.001418,14035
traffic,134,2.127694,0.828379,0.633322,0.000819,14035
traffic,135,1.238439,0.727386,0.861874,0.001888,14035
traffic,136,0.962756,0.603237,0.794828,0.0004,14035
traffic,137,1.680256,0.866738,0.891104,0.000739,14035
traffic,138,1.214145,0.689035,0.82152,0.000242,14035
traffic,139,1.864421,1.03026,0.891189,0.001534,14035
traffic,14,1.25602,0.725432,0.847395,0.006413,14035
traffic,140,1.25966,0.651196,0.710636,0.008357,14035
traffic,141,1.516018,0.874746,0.878538,0.000177,14035
traffic,142,1.388861,0.722668,0.735536,0.079697,14035
traffic,143,0.748956,0.471554,0.745552,0.000249,14035
traffic,144,1.470137,0.787318,0.880566,0.001651,14035
traffic,145,1.287709,0.735582,0.86464,0.023653,14035
traffic,146,1.80256,0.861129,0.845103,0.000182,14035
traffic,147,2.57587,1.125568,0.833057,0.000118,14035
traffic,148,1.361583,0.7125,0.823819,0.000178,14035
traffic,149,1.493855,0.842639,0.896095,0.004228,14035
traffic,15,1.001573,0.547209,0.729366,0.002361,14035
traffic,150,1.914382,0.828586,0.690353,0.005644,14035
traffic,151,1.420483,0.723576,0.852432,9.3e-05,14035
traffic,152,1.602401,0.83888,0.822363,4.5e-05,14035
traffic,153,1.627996,0.720198,0.68024,0.000249,14035
traffic,154,1.992758,0.998515,0.844252,0.002671,14035
traffic,155,0.920174,0.615301,0.847717,0.001194,14035
traffic,156,1.781589,0.826933,0.76098,0.05971,14035
traffic,157,1.016119,0.568756,0.771133,0.02048,14035
traffic,158,1.821596,0.862879,0.865512,8.4e-05,14035
traffic,159,0.95275,0.648208,0.886496,0.008053,14035
traffic,16,1.224091,0.647536,0.832712,0.017529,14035
traffic,160,2.148063,0.98343,0.843212,0.001909,14035
traffic,161,1.728431,0.818965,0.713359,1e-05,14035
traffic,162,1.570348,0.812788,0.82741,0.002296,14035
traffic,163,1.066734,0.609028,0.84342,0.02866,14035
traffic,164,1.464686,0.698633,0.755809,0.064978,14035
traffic,165,0.840481,0.57723,0.913842,0.007353,14035
traffic,166,1.868437,0.969252,0.90394,0.000562,14035
traffic,167,0.888758,0.522289,0.757499,0.003649,14035
