model,dataset,horizon,RMSE,sMAPE,MASE,MAE,Bias
xgboost,traffic,168,0.0483,61.5233,2.4913,0.0356,10.75
xgboost,etth1,24,1.3524,24.8117,0.7062,1.0727,-3.08
xgboost,exchange,96,0.0213,3.0317,5.1229,0.0176,-0.87
xgboost,m4,14,244.0011,3.4048,1.3375,213.5042,0.26
xgboost,traffic,168,0.0153,12.37,0.4655,0.0072,0.06
xgboost,etth1,24,0.9934,17.8989,0.4826,0.6751,2.22
xgboost,exchange,96,0.0044,1.1183,1.8301,0.0036,0.7
xgboost,m4,14,114.9022,1.27,0.5373,91.2259,0.06
xgboost,traffic,168,0.0153,12.37,0.4655,0.0072,0.06
xgboost,etth1,24,1.1208,19.6798,0.5269,0.7764,2.43
xgboost,exchange,96,0.0043,0.8015,6.7613,0.0036,0.42
xgboost,m4,14,115.5215,1.2718,0.5404,91.1496,0.03
